Date	SAS2(degC)<Average>	SAS1(degC)<Average>	TUNNEL6(degC)<Average>	CHAMBRE8(degC)<Average>	TEMP_EXTERIEURE(degC)<Average>	CHAMBRE9(degC)<Average>	TUNNEL5(degC)<Average>	TEMP_QUAI(degC)<Average>	SDM2(degC)<Average>	CONDUCTIVITE(mS)<Average>	PRESSION BP(Bars)<Average>	PRESSION HP_0(Bars)<Average>	PRESSION HP(Bars)<Average>	COMPTEUR EAU GENERAL(m3)	COMPTEUR EAU SALLE DES MACHINES(m3)
14/06/2017 05:30:00 	16.3999996185	16.6000003815	-0.6999999881	-22.3210010529	15.0112161636	-22.7577915192	-27.0328388214	15.8000001907	30.8374118805	1352.9232177734	-4.2494421005	-6.2498259544	-6.2504272461	56133	35755
14/06/2017 05:20:00 	16.3999996185	16.5182247162	-0.6999999881	-22.1394824982	15.3549308777	-22.7333106995	-26.8947410583	15.8000001907	30.8424987793	1306.3824462891	-4.2494082451	-6.2499365807	-6.2504281998	56133	35755
14/06/2017 05:10:00 	16.3999996185	16.5188941956	-0.6999999881	-22.0219097137	15.6003618240	-22.6765556335	-26.7594890594	15.8416481018	30.8044471741	1404.8864746094	-4.2493743896	-6.2498288155	-6.2503976822	56133	35755
14/06/2017 05:00:00 	16.3999996185	16.5000000000	-0.6999999881	-21.8566341400	15.5354099274	-22.6358757019	-26.6077480316	15.8262643814	30.7783946991	1392.9969482422	-4.2494797707	-6.2499799728	-6.2504086494	56133	35755
14/06/2017 04:50:00 	16.3999996185	16.5000000000	-0.6999999881	-21.6492919922	15.3383331299	-22.6000003815	-26.4069900513	15.8000001907	30.7827568054	1333.5999755859	-4.2494707108	-6.2499284744	-6.2502894402	56133	35755
14/06/2017 04:40:00 	16.3999996185	16.5469532013	-0.6999999881	-21.4119453430	15.3912992477	-22.5350418091	-26.1909885406	15.8000001907	30.7963047028	1403.5775146484	-4.2494664192	-6.2499446869	-6.2503490448	56133	35755
14/06/2017 04:30:00 	16.3999996185	16.5362586975	-0.7522370219	-21.0481777191	15.4931421280	-22.5349464417	-25.9233894348	15.8000001907	30.8578166962	1345.8505859375	-4.2494034767	-6.2498927116	-6.2503647804	56133	35755
14/06/2017 04:20:00 	16.3778190613	16.6516723633	-0.8086408973	-20.5950679779	15.5595035553	-22.5000000000	-25.6941871643	15.8000001907	30.8172302246	1287.3420410156	-4.2494263649	-6.2498884201	-6.2503261566	56133	35755
14/06/2017 04:10:00 	16.3234710693	16.6304321289	-0.8000000119	-20.7961654663	15.5077199936	-22.5548019409	-25.4692230225	15.8000001907	30.8258895874	1369.4733886719	-4.2494106293	-6.2498054504	-6.2504558563	56133	35755
14/06/2017 04:00:00 	16.3014926910	16.6120033264	-0.8000000119	-20.7999992371	15.4095621109	-22.5176868439	-25.0080890656	15.8000001907	30.8107643127	1381.6317138672	-4.2494459152	-6.2498974800	-6.2503943443	56133	35755
14/06/2017 03:50:00 	16.3999996185	16.6153373718	-0.8000000119	-20.8127288818	15.4353017807	-22.4294643402	-24.1955966949	15.8000001907	30.8758544922	1315.0544433594	-4.2494754791	-6.2498579025	-6.2504377365	56133	35755
14/06/2017 03:40:00 	16.3999996185	16.6703090668	-0.8049372435	-20.8821086884	15.4547567368	-22.3999996185	-22.8737831116	15.8000001907	30.8284530640	1343.3037109375	-4.2494697571	-6.2499127388	-6.2502932549	56133	35755
14/06/2017 03:30:00 	16.3999996185	16.7000007629	-0.8009324670	-20.8776893616	15.3999996185	-22.3167839050	-20.7679843903	15.8000001907	30.8027973175	1394.7950439453	-4.2494711876	-6.2498416901	-6.2503638268	56133	35755
14/06/2017 03:20:00 	16.3448600769	16.6882190704	-0.8395923376	-20.8569698334	15.5228710175	-22.2999992371	-17.4420280457	15.8553638458	30.7134227753	1341.5869140625	-4.2494878769	-6.2499046326	-6.2504930496	56133	35755
14/06/2017 03:10:00 	16.2999992371	16.6360149384	-0.8332182765	-20.9554271698	15.5157718658	-22.3908538818	-15.4938735962	15.8912162781	30.6301307678	1269.0113525391	-4.2495188713	-6.2498054504	-6.2503490448	56133	35755
14/06/2017 03:00:00 	16.3743743896	16.6382408142	-0.8259534240	-21.0727863312	15.6058502197	-22.4271602631	-15.7069025040	15.8999996185	30.5963077545	1373.0347900391	-4.2494935989	-6.2497549057	-6.2504663467	56133	35755
14/06/2017 02:50:00 	16.3999996185	16.6499404907	-0.8000000119	-21.2312278748	15.5605907440	-22.4817886353	-16.7389602661	15.8999996185	30.6972732544	1400.7226562500	-4.2494525909	-6.2498388290	-6.2505936623	56133	35755
14/06/2017 02:40:00 	16.3999996185	16.6506385803	-0.8000000119	-21.3372802734	15.6535205841	-22.4928894043	-18.3637218475	15.9392471313	30.5913009644	1369.6495361328	-4.2494893074	-6.2498373985	-6.2505536079	56133	35755
14/06/2017 02:30:00 	16.3999996185	16.6074390411	-0.8009319901	-21.4565067291	15.7166547775	-22.4551258087	-20.2240943909	15.9493436813	30.5303249359	1309.7316894531	-4.2494916916	-6.2499127388	-6.2504138947	56133	35755
14/06/2017 02:20:00 	16.3999996185	16.6000003815	-0.8000000119	-21.6144447327	15.8984985352	-22.4984474182	-22.3664703369	15.9976358414	30.5099735260	1414.5107421875	-4.2494707108	-6.2499284744	-6.2504811287	56133	35755
14/06/2017 02:10:00 	16.3999996185	16.6102409363	-0.8000000119	-21.8345012665	15.9961490631	-22.4274559021	-24.8945941925	16	30.2977714539	1345.8231201172	-4.2494616508	-6.2497611046	-6.2503499985	56133	35755
14/06/2017 02:00:00 	16.3999996185	16.6000003815	-0.8000000119	-21.9971122742	16.1993980408	-22.3211994171	-26.8059825897	16	30.3738136292	1323.1864013672	-4.2493858337	-6.2499284744	-6.2505869865	56133	35755
14/06/2017 01:50:00 	16.3999996185	16.5972194672	-0.8000000119	-22.2558917999	16.3735141754	-22.2400493622	-26.8878879547	16	30.2919998169	1352.0869140625	-4.2494282722	-6.2498135567	-6.2502498627	56133	35755
14/06/2017 01:40:00 	16.3999996185	16.5680942535	-0.7431578636	-22.3999996185	16.5213279724	-22.0547885895	-26.6260051727	16	30.0425014496	1339.7136230469	-4.2495470047	-6.2498726845	-6.2503619194	56133	35755
14/06/2017 01:30:00 	16.3999996185	16.5741939545	-0.6999999881	-22.3932151794	16.6634216309	-21.9245128632	-26.3611240387	16	30.0359573364	1339.2645263672	-4.2494320869	-6.2499012947	-6.2503280640	56133	35755
14/06/2017 01:20:00 	16.3999996185	16.5572795868	-0.6999999881	-22.3039188385	16.4857711792	-21.8669834137	-26.2514247894	16	30.1006221771	1408.4094238281	-4.2494916916	-6.2499089241	-6.2504124641	56133	35755
14/06/2017 01:10:00 	16.3999996185	16.5360145569	-0.6999999881	-22.2010707855	16.5667304993	-21.7579116821	-26.1884384155	16.0653152466	29.9938392639	1349.2562255859	-4.2493801117	-6.2498540878	-6.2503666878	56133	35755
14/06/2017 01:00:00 	16.3999996185	16.5000000000	-0.6999999881	-22.1119823456	16.1787643433	-21.6466674805	-26.0731353760	16.1000003815	29.8671951294	1298.0886230469	-4.2494091988	-6.2498965263	-6.2503619194	56133	35755
14/06/2017 00:50:00 	16.3999996185	16.5000000000	-0.6999999881	-22.0317916870	16.1909217834	-21.5178813934	-25.9656028748	16.1226100922	29.7491722107	1379.8352050781	-4.2494454384	-6.2498173714	-6.2504401207	56133	35755
